物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
ザ・パークハウス三軒茶屋タワー,東京都世田谷区上馬１,東急田園都市線「三軒茶屋」徒歩9分,2012年2月,119800000.0,2LDK,55.72,6.32,東京,世田谷,166,11980.0,710,東急田園都市線,三軒茶屋,35.6383248,139.6688067
ザ　湾岸タワー　レックスガーデン,東京都江東区東雲２,りんかい線「東雲」徒歩4分,2012年9月,119800000.0,2LDK,68.99,3.97,東京,江東,159,11980.0,573,りんかい線,東雲,35.6396214,139.802278
ワールドシティタワーズキャピタルタワー,東京都港区港南４,東京モノレール「天王洲アイル」徒歩4分,2006年10月,119800000.0,1LDK,62.44,9.69,東京,港,230,11980.0,633,東京モノレール,天王洲アイル,35.6273113,139.7485979
ワールドシティタワーズキャピタルタワー,東京都港区港南４,ＪＲ山手線「品川」徒歩14分,2006年10月,119800000.0,1LDK,62.44,9.69,東京,港,230,11980.0,633,ＪＲ山手線,品川,35.6273113,139.7485979
パークタワー東雲,東京都江東区東雲１,りんかい線「東雲」徒歩7分,2014年1月,119800000.0,2LDK,60.15,12.24,東京,江東,143,11980.0,657,りんかい線,東雲,35.6465138,139.802278
フェイバリッチタワー品川,東京都港区港南３,ＪＲ山手線「品川」徒歩11分,2006年10月,119990000.0,1LDK+S（納戸）,63.44,9.72,東京,港,230,11999.0,624,ＪＲ山手線,品川,35.633247,139.7505142
プラウドタワー小岩ファースト,東京都江戸川区南小岩６,ＪＲ総武線「小岩」徒歩1分,2022年3月,120000000.0,3LDK,75.25,18.8,東京,江戸川,45,12000.0,526,ＪＲ総武線,小岩,35.7292121,139.8784076
HARUMI FLAG PARK VILLAGE T…,東京都中央区晴海５-6-7,都営大江戸線「勝どき」徒歩15分,2025年9月,120000000.0,2LDK,66.31,16.84,東京,中央,3,12000.0,597,都営大江戸線,勝どき,35.6497754,139.7745565
大崎ウエストシティタワーズＥ棟,東京都品川区大崎２-9-1,ＪＲ山手線「大崎」徒歩4分,2009年9月,120000000.0,1LDK,46.88,4.56,東京,品川,195,12000.0,845,ＪＲ山手線,大崎,35.616749,139.7277886
オリゾンマーレ,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩4分,2004年10月,120000000.0,1LDK+S（納戸）,63.78,10.46,東京,江東,254,12000.0,621,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
【VECS】シティタワー品川　南西向き３５階,東京都港区港南４,ＪＲ山手線「品川」徒歩10分,2008年4月,120000000.0,3LDK,82.77,11.05,東京,港,212,12000.0,478,ＪＲ山手線,品川,35.6273113,139.7485979
キャナルファーストタワー,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩9分,2008年1月,120000000.0,3LDK,74.41,15.66,東京,江東,215,12000.0,532,東京メトロ有楽町線,辰巳,35.6465138,139.802278
DEUX　TOURS (ドゥ・トゥール) イースト,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,2015年9月,120000000.0,1LDK,47.31,5.2,東京,中央,123,12000.0,837,都営大江戸線,勝どき,35.6548467,139.7786272
シティタワー目黒,東京都品川区西五反田３,東急目黒線「不動前」徒歩4分,2017年1月,121500000.0,1LDK,41.26,12.72,東京,品川,107,12150.0,972,東急目黒線,不動前,35.6279656,139.717307
プラウドタワー亀戸クロス　ブライトタワー棟,東京都江東区亀戸６,ＪＲ総武線「亀戸」徒歩3分,2021年12月,122800000.0,2LDK,63.41,16.0,東京,江東,48,12280.0,639,ＪＲ総武線,亀戸,35.6957973,139.8278569
Wコンフォートタワーズ W Comfort Towe…,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩7分,2004年10月,124800000.0,3LDK,89.04,12.75,東京,江東,254,12480.0,463,東京メトロ有楽町線,辰巳,35.6465138,139.802278
ライオンズ四谷タワーゲート,東京都新宿区四谷４,東京メトロ丸ノ内線「四谷三丁目」徒歩5分,2007年5月,124800000.0,2LDK,57.99,9.24,東京,新宿,223,12480.0,710,東京メトロ丸ノ内線,四谷三丁目,35.6894241,139.7160301
エアライズタワー,東京都豊島区東池袋４,東京メトロ有楽町線「東池袋」徒歩1分,2007年1月,124800000.0,1LDK,54.94,9.4,東京,豊島,227,12480.0,750,東京メトロ有楽町線,東池袋,35.727032,139.7211376
ライオンズ四谷タワーゲート,東京都新宿区四谷４-8,東京メトロ丸ノ内線「四谷三丁目」徒歩5分,2007年5月,124800000.0,2LDK,57.99,9.24,東京,新宿,223,12480.0,710,東京メトロ丸ノ内線,四谷三丁目,35.6880701,139.7166065
ザ・パークハウス新宿タワー　711,東京都新宿区北新宿２-21-2,東京メトロ丸ノ内線「西新宿」徒歩6分,2012年1月,124990000.0,2LDK,48.07,6.66,東京,新宿,167,12499.0,858,東京メトロ丸ノ内線,西新宿,35.6961352,139.6886647
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１,東京メトロ有楽町線「月島」徒歩7分,1998年2月,124990000.0,3LDK,77.52,27.77,東京,中央,334,12499.0,532,東京メトロ有楽町線,月島,35.6597032,139.7850184
ザ・パークハウス晴海タワーズ ティアロレジデンス,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6564518,139.7869359
ザ・パークハウス晴海タワーズ　ティアロレジデンス,東京都中央区晴海２-3-2,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6561262,139.7858853
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6564518,139.7869359
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２-3-2,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6561262,139.7858853
シティタワーズ東京ベイ　セントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩4分,2019年7月,125000000.0,2LDK,54.24,14.61,東京,江東,77,12500.0,761,新交通ゆりかもめ,有明,35.6388488,139.7946064
ベイクレストタワー,東京都港区港南３,ＪＲ山手線「品川」徒歩15分,2005年8月,125000000.0,2LDK,65.1,12.1,東京,港,244,12500.0,634,ＪＲ山手線,品川,35.633247,139.7505142
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,都営大江戸線,勝どき,35.6564518,139.7869359
ザ・パークハウス晴海タワーズ　ティアロレジデンス,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6564518,139.7869359
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２-3-2,東京メトロ有楽町線「月島」徒歩13分,2016年3月,125000000.0,2LDK,65.54,9.87,東京,中央,117,12500.0,629,東京メトロ有楽町線,月島,35.6561262,139.7858853
シティタワー新宿新都心,東京都新宿区西新宿４,都営大江戸線「西新宿五丁目」徒歩5分,2005年2月,125000000.0,1LDK,58.0,5.49,東京,新宿,250,12500.0,711,都営大江戸線,西新宿五丁目,35.6879506,139.6866706
セントラルレジデンス新宿シティタワー,東京都新宿区西新宿７-7-19,都営大江戸線「新宿西口」徒歩6分,2001年12月,125000000.0,2LDK,55.4,8.66,東京,新宿,288,12500.0,745,都営大江戸線,新宿西口,35.697327,139.6968084
ビーコンタワーレジデンス,東京都江東区東雲１-9-43,東京メトロ有楽町線「辰巳」徒歩10分,2009年1月,125500000.0,3LDK,83.83,15.3,東京,江東,203,12550.0,494,東京メトロ有楽町線,辰巳,35.6482874,139.8048459
ラグナタワー,東京都品川区東品川３-８－８,りんかい線「天王洲アイル」徒歩7分,2005年2月,126800000.0,2LDK+S（納戸）,83.98,8.4,東京,品川,250,12680.0,498,りんかい線,天王洲アイル,35.6160015,139.7481855
勝どきザ・タワー KACHIDOKI THE TOW…,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,126800000.0,1LDK+S（納戸）,58.98,5.91,東京,中央,109,12680.0,709,都営大江戸線,勝どき,35.657516,139.7709587
ローレルタワー　ルネ浜松町,東京都港区海岸２,新交通ゆりかもめ「日の出」徒歩2分,2020年1月,126900000.0,1LDK,51.09,6.0,東京,港,71,12690.0,820,新交通ゆりかもめ,日の出,35.6501388,139.7589234
ザ・ガーデンタワーズ　サンセットタワー,東京都江東区大島１-2-2,都営新宿線「住吉」徒歩7分,1997年8月,128000000.0,3LDK,106.74,14.25,東京,江東,340,12800.0,396,都営新宿線,住吉,35.6868121,139.8208585
シティタワーズ東京ベイセントラルタワー,東京都江東区有明２-1-2,りんかい線「国際展示場」徒歩6分,2019年7月,128000000.0,2LDK,54.24,14.61,東京,江東,77,12800.0,779,りんかい線,国際展示場,35.6374135,139.793715
ザ・リバープレイスイーストタワー,東京都大田区下丸子４,東急多摩川線「下丸子」徒歩9分,2004年9月,128000000.0,3LDK,97.29,30.44,東京,大田,255,12800.0,434,東急多摩川線,下丸子,35.5708172,139.6822041
ローレルタワールネ浜松町,東京都港区海岸２,ＪＲ山手線「浜松町」徒歩10分,2020年1月,128000000.0,2LDK,62.32,6.0,東京,港,71,12800.0,678,ＪＲ山手線,浜松町,35.6501388,139.7589234
ステーションガーデンタワー,東京都荒川区西日暮里２,ＪＲ山手線「日暮里」徒歩2分,2008年2月,128000000.0,2LDK,53.98,9.65,東京,荒川,214,12800.0,783,ＪＲ山手線,日暮里,35.730653,139.7715977
中野ツインマークタワー,東京都中野区中野３,ＪＲ中央線「中野」徒歩2分,2012年7月,128000000.0,2LDK,55.25,10.61,東京,中野,161,12800.0,765,ＪＲ中央線,中野,35.718054,139.6560501
ワールドシティタワーズ ブリーズタワー1棟,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2006年10月,128000000.0,1LDK,64.79,13.0,東京,港,230,12800.0,652,ＪＲ山手線,品川,35.6273113,139.7485979
シティタワーズ東京ベイ  イーストタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩6分,2019年7月,128800000.0,2LDK,56.17,18.45,東京,江東,77,12880.0,757,新交通ゆりかもめ,有明,35.6388488,139.7946064
HARUMI FLAG SUN VILLAGE T棟…,東京都中央区晴海５-5-7,都営大江戸線「勝どき」徒歩18分,2025年10月,129700000.0,2LDK,61.32,15.72,東京,中央,2,12970.0,698,都営大江戸線,勝どき,35.6505533,139.7736279
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ,東京都中央区晴海５,都営大江戸線「勝どき」徒歩19分,2025年9月,129700000.0,2LDK,61.32,15.72,東京,中央,3,12970.0,698,都営大江戸線,勝どき,35.6490356,139.7741538
ザ・パークハウス晴海タワーズ　クロノレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,2013年10月,129800000.0,2LDK,61.82,11.73,東京,中央,146,12980.0,693,都営大江戸線,勝どき,35.6564518,139.7869359
【弊社限定販売中】～東京ツインパークス レフトウイン…,東京都港区東新橋１,ＪＲ山手線「新橋」徒歩11分,2002年9月,129800000.0,1LDK,41.98,7.62,東京,港,279,12980.0,1020,ＪＲ山手線,新橋,35.664582,139.7613745
リーデンスタワー,東京都荒川区東日暮里５,ＪＲ山手線「日暮里」徒歩8分,2001年6月,129800000.0,3LDK,76.18,23.63,東京,荒川,294,12980.0,562,ＪＲ山手線,日暮里,35.7272838,139.7760709
パークハウス清澄白河　リバーサイド,東京都江東区白河２,東京メトロ半蔵門線「清澄白河」徒歩3分,2005年1月,129800000.0,2LDK,65.28,12.93,東京,江東,251,12980.0,656,東京メトロ半蔵門線,清澄白河,35.682946,139.8029173
Brillia Towers目黒サウスレジデンス,東京都品川区大崎３,ＪＲ山手線「目黒」徒歩3分,2017年7月,130000000.0,1LDK,41.08,6.47,東京,品川,101,13000.0,1044,ＪＲ山手線,目黒,35.6194612,139.7240108
シティタワーズ東京ベイ　セントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩4分,2019年7月,132000000.0,2LDK,54.24,14.61,東京,江東,77,13200.0,803,新交通ゆりかもめ,有明,35.6388488,139.7946064
プラウドタワー東雲キャナルコート,東京都江東区東雲１,東京メトロ有楽町線「豊洲」徒歩12分,2012年12月,132800000.0,3LDK+S（納戸）,80.58,14.42,東京,江東,156,13280.0,544,東京メトロ有楽町線,豊洲,35.6465138,139.802278
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年10月,133000000.0,3LDK,76.73,14.96,東京,北,14,13300.0,572,ＪＲ埼京線,十条,35.7591353,139.7211376
ＴＨＥ　ＣＥＮＴＥＲ　ＴＯＫＹＯ,東京都新宿区市谷本村町,都営新宿線「曙橋」徒歩5分,2007年11月,134000000.0,2LDK,61.16,5.24,東京,新宿,217,13400.0,723,都営新宿線,曙橋,35.6927695,139.7300768
プラウドタワー東雲キャナルコート,東京都江東区東雲１,東京メトロ有楽町線「豊洲」徒歩12分,2012年12月,134800000.0,2LDK,82.49,15.93,東京,江東,156,13480.0,539,東京メトロ有楽町線,豊洲,35.6465138,139.802278
Wコンフォートタワーズ W Comfort Towe…,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩7分,2004年10月,134800000.0,3LDK,89.04,12.75,東京,江東,254,13480.0,500,東京メトロ有楽町線,辰巳,35.6465138,139.802278
プラウドタワー平井,東京都江戸川区平井５,ＪＲ総武線「平井」徒歩2分,2025年1月,134800000.0,3LDK,77.48,19.37,東京,江戸川,11,13480.0,574,ＪＲ総武線,平井,35.7079978,139.8425698
インプレストタワー芝浦エアレジデンス,東京都港区芝浦２-6-16,ＪＲ山手線「田町」徒歩8分,2014年2月,134800000.0,2LDK,55.52,7.89,東京,港,142,13480.0,801,ＪＲ山手線,田町,35.644437,139.753548
ベイシティ晴海スカイリンクタワー,東京都中央区晴海３,都営大江戸線「勝どき」徒歩6分,2009年11月,134900000.0,2LDK,63.96,18.21,東京,中央,193,13490.0,696,都営大江戸線,勝どき,35.6548467,139.7786272
東京ビューマークス,東京都台東区竜泉２,東京メトロ日比谷線「三ノ輪」徒歩6分,2003年2月,135000000.0,2LDK,91.4,23.97,東京,台東,274,13500.0,487,東京メトロ日比谷線,三ノ輪,35.72603520000001,139.7901318
ステーションプラザタワー,東京都荒川区西日暮里２,ＪＲ山手線「日暮里」徒歩2分,2009年10月,135000000.0,2LDK,55.25,7.53,東京,荒川,194,13500.0,806,ＪＲ山手線,日暮里,35.730653,139.7715977
パークタワー品川ベイワード,東京都港区港南３,ＪＲ山手線「品川」徒歩14分,2005年11月,135800000.0,2LDK,67.17,15.1,東京,港,241,13580.0,667,ＪＲ山手線,品川,35.633247,139.7505142
ブリリア有明シティタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,2014年12月,135800000.0,3LDK,70.89,18.1,東京,江東,132,13580.0,632,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
ザ・パークハウス晴海タワーズ ティアロレジデンス,東京都中央区晴海２-3-2,都営大江戸線「勝どき」徒歩13分,2016年3月,135800000.0,3LDK,73.66,12.83,東京,中央,117,13580.0,608,都営大江戸線,勝どき,35.6561262,139.7858853
ザ・パークハウス晴海タワーズ　クロノレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,2013年10月,136800000.0,2LDK,68.42,11.73,東京,中央,146,13680.0,660,都営大江戸線,勝どき,35.6564518,139.7869359
